470,49bbd6c0f964a520f4531fe3,4bf58dd8d48988d127951735,Arts & Crafts Store,40.71981038,-74.00258103,-240,Tue Apr 03 18:00:09 +0000 2012
979,4a43c0aef964a520c6a61fe3,4bf58dd8d48988d1df941735,Bridge,40.60679958,-74.04416981,-240,Tue Apr 03 18:00:25 +0000 2012
69,4c5cc7b485a1e21e00d35711,4bf58dd8d48988d103941735,Home (private),40.71616168,-73.88307006,-240,Tue Apr 03 18:02:24 +0000 2012
395,4bc7086715a7ef3bef9878da,4bf58dd8d48988d104941735,Medical Center,40.7451638,-73.98251878,-240,Tue Apr 03 18:02:41 +0000 2012
87,4cf2c5321d18a143951b5cec,4bf58dd8d48988d1cb941735,Food Truck,40.74010383,-73.98965836,-240,Tue Apr 03 18:03:00 +0000 2012
484,4b5b981bf964a520900929e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.69042712,-73.95468678,-240,Tue Apr 03 18:04:00 +0000 2012
642,4ab966c3f964a5203c7f20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.75159143,-73.9741214,-240,Tue Apr 03 18:04:38 +0000 2012
292,4d0cc47f903d37041864bf55,4bf58dd8d48988d12b951735,Bus Station,40.77942173,-73.95534113,-240,Tue Apr 03 18:04:42 +0000 2012
428,4ce1863bc4f6a35d8bd2db6c,4bf58dd8d48988d103941735,Home (private),40.61915107,-74.0358876,-240,Tue Apr 03 18:06:18 +0000 2012
877,4be319b321d5a59352311811,4bf58dd8d48988d10a951735,Bank,40.61900594,-73.99037473,-240,Tue Apr 03 18:06:19 +0000 2012
87,4d8263a73e916dcb8edd80d2,4bf58dd8d48988d155941735,Gastropub,40.74348254,-73.994009,-240,Tue Apr 03 18:07:15 +0000 2012
625,4ab5320cf964a5202b7320e3,4bf58dd8d48988d122951735,Electronics Store,40.74260751,-73.99270535,-240,Tue Apr 03 18:08:57 +0000 2012
